"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"Marlene Blouse","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Bluse","Webware (leicht)","2-20 / 18-34","PDF","Vorhanden","","","40er-Jahre Bluse mit Knopfleiste und Puffärmel (kurz oder lang). Optionale Brusttaschen. Raffungen und Falten vorne für optimale Büstenpassform, kein Klaffen. Blusig an der Taille, einzustecken oder locker zu tragen. Empfohlen: Viskose-Challis, Lawn, Batist, Popeline, Sateen, Crêpe de Chine."
"Midge Breton Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Millicent Dress","Gertie Patreon","Lamour Series","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"MJC Holiday Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Niagara Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Night and Day Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Norma Turban","Gertie Patreon","","Damen","Accessoires","Mütze","","2-20 / 18-34","PDF","Vorhanden","","",""
"Patsy Blouse","Charm Patterns","","Damen","Oberteil","Bluse","Webware (leicht bis mittelschwer)","2-20 (A-H Cup)","PDF","Vorhanden","","","55 Varianten: 5 Ärmeloptionen (kurz, lang, Ballon, ärmellos, Western-Overlay), 2 Kragen (Stehkragen/Kragen mit Stand), opt. Passe und Tasche. Vintage-Passform mit separaten Cup-Größen. Inspiriert von Patsy Cline. Retail-Muster (CP114), kein Patreon-Exclusive."
"Patsy Sleeve and Necktie","Gertie Patreon","","Damen","Accessoires","","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peggy Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pep Rally Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peter Pan Bolero","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Picnic Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Presley Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Capelet","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Secrets Clutch","Gertie Patreon","","Damen","Taschen","Clutch","","2-20 / 18-34","PDF","Vorhanden","","",""
"Shelley Purse","Gertie Patreon","","Damen","Taschen","Shopper","","2-20 / 18-34","PDF","Vorhanden","","",""
"Skipper Dress and Bodysuit","Gertie Patreon","","Damen","Einteiler","Overall","","2-20 / 18-34","PDF","Vorhanden","","",""
"Society Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sophia Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Souvenir Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Stanwyck Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Study Hall Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Summer vacation pants","Gertie Patreon","","Damen","Unterteil","Hose","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sweetheart Slip","Gertie Patreon","","Damen","Lingerie","Unterwäsche","","2-20 / 18-34","PDF","Vorhanden","","",""
"Swing Coat","Gertie Patreon","","Damen","Oberteil","Mantel","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Turner Cardigan","Gertie Patreon","","Damen","Oberteil","Jacke","Strick","2-20 / 18-34","PDF","Vorhanden","","",""
"Uniform Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Valedictorian Bow and Tie","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
"Vargas Panties","Gertie Patreon","","Damen","Lingerie","Slip","","2-20 / 18-34","PDF","Vorhanden","","",""
"Varsity Gym Shorts","Gertie Patreon","","Damen","Unterteil","Shorts","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Varsity Sweatshirt","Gertie Patreon","","Damen","Oberteil","Sweatshirt","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Wanda Skirt","Gertie Patreon","Lamour Series","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Waspie Corset Belt","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
